1745343519.4199455,21,-62,528,-41,-13,-16,40,38,20,24,-35,-32,-28,-32,29,24,35,40,-17,55,-28,17,29,8,-45,18,17,-12,-29,28,-53,-5,-3,0,-126,-39,14,-31,-22,-17,31,-57,12,8,28,23,52,21,3,101,31,21,7,-2,-36
1745343519.722095,10,-61,531,50,-6,-1,-51,-50,-4,-11,49,48,15,21,-46,-42,-26,-35,36,-59,29,43,-2,8,22,-4,-13,14,35,3,31,-1,-4,83,89,33,-46,-44,33,10,-40,42,-40,-36,-40,-26,-30,-19,-17,-118,45,-2,0,2,-48
1745343520.0216222,32,-62,534,73,35,43,-69,-64,-50,-57,57,49,65,69,-42,-34,-74,-81,18,-94,45,59,-78,-11,31,-25,-47,31,23,-101,14,-12,-12,-70,92,55,-15,-19,116,29,-21,94,-33,-23,-13,55,-109,-24,-1,-19,-25,-14,-18,-79,23
1745343520.3343108,3,-68,537,-7,-24,-24,4,1,25,25,1,4,-25,-24,-7,-10,23,17,14,-23,102,18,-59,17,4,-13,-12,56,-3,13,5,-20,10,95,-53,-35,-45,71,90,-38,-18,-2,-15,-47,13,-42,18,-17,15,21,125,-42,-4,-89,36
1745343520.624059,25,-62,540,31,-36,-32,-35,-38,29,25,41,44,-19,-14,-46,-48,7,-1,49,2,63,-52,-21,19,33,-35,9,26,4,22,62,3,7,105,62,7,-41,68,-3,-18,-34,12,-59,-30,0,-69,-16,-14,16,-78,66,-22,14,23,45
1745343520.9324398,36,-63,543,78,-45,-34,-82,-86,24,17,87,90,-4,5,-90,-88,-13,-34,86,-11,102,-18,-81,25,18,-66,15,38,-22,-56,90,-29,-7,30,67,22,-55,79,91,-3,-32,22,-119,-14,20,-53,-115,8,15,11,51,-25,15,-45,86
1745343521.2232547,11,-61,546,-26,40,36,31,36,-32,-28,-38,-42,23,20,43,46,-15,-4,-48,10,-75,-36,8,-26,-14,4,0,-24,-9,-29,-16,20,6,-116,-8,9,60,21,-34,21,32,2,53,43,0,48,0,-1,-5,76,-99,-8,-13,4,34
1745343521.524932,19,-62,549,9,44,45,-4,1,-45,-45,-6,-12,43,42,17,21,-40,-34,-30,-37,-60,2,-29,-41,8,0,-17,-15,18,-60,1,17,7,-118,37,35,44,2,30,45,4,35,47,31,-22,50,-43,-14,-22,11,-120,-12,-19,-38,14
1745343521.8195503,27,-61,552,-67,7,0,67,67,5,12,-66,-64,-22,-30,60,57,36,47,-49,68,-65,13,64,12,-41,32,15,-28,-19,49,-64,3,-4,4,-126,-53,29,-50,-66,-24,48,-59,45,22,29,30,93,23,1,92,32,32,-3,40,-62
1745343522.1221187,16,-62,555,-33,31,27,36,39,-23,-17,-42,-43,13,7,44,45,-3,7,-45,29,-74,0,-24,-30,-17,10,-11,-15,-6,-32,-38,26,12,-108,-64,-8,62,-1,8,21,35,-18,56,43,14,57,11,-3,-15,106,-72,0,-23,-22,1
